parameter_label,value,x,y,z,z_mode,roll,yaw,wait_ms,fine,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw,catmull_wait_ms,catmull_fine
checkpoint_end_row,11.0,0.0,0.0,0.65,1.0,0.0,0.0,0,0,,0.0,0.0,0.65,1.0,0.0,0.0,0,0
catmull_rom,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,,0.0,0.0,0.5,1.0,0.0,0.0,0,0
catmull_end_row,28.0,1.0,0.0,0.5,1.0,0.0,90.0,0,0,,0.4039,0.0,0.4648,1.0,0.0,44.0816,0,0
catmull_density,100.0,2.0,0.0,0.5,1.0,0.0,0.0,0,0,,0.8107,0.0,0.4932,1.0,0.0,74.3878,0,0
catmull_min_distance,0.4,1.0,-1.0,0.5,1.0,0.0,0.0,0,0,,1.0,0.0,0.5,1.0,0.0,90.0,0,0
catmull_orient_LERP,1.0,2.0,0.0,0.5,1.0,0.0,0.0,0,0,,1.4086,0.0297,0.5,1.0,0.0,59.6939,0,0
timeout_sec,0,1.0,1.0,0.5,1.0,0.0,0.0,0,0,,1.8111,0.0567,0.5,1.0,0.0,28.4694,0,0
,,1.0,1.0,0.5,1.0,0.0,90.0,0,0,,2.0,0.0,0.5,1.0,0.0,0.0,0,0
,,1.0,0.0,0.5,1.0,0.0,90.0,0,0,,1.7688,-0.3269,0.5,1.0,0.0,0.0,0,0
,,0.0,0.0,0.5,1.0,0.0,0.0,0,0,,1.4689,-0.6057,0.5,1.0,0.0,0.0,0,0
,,0.0,0.0,0.65,1.0,0.0,0.0,0,0,,1.1562,-0.8725,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.0,-1.0,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.3289,-0.7619,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.6422,-0.5013,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.9217,-0.1961,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,2.0,0.0,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.8046,0.3434,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.488,0.6061,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.1586,0.8586,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.0,1.0,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,1.0,1.0,0.5,1.0,0.0,90.0,0,0
,,,,,,,,,,,1.0421,0.5943,0.5,1.0,0.0,90.0,0,0
,,,,,,,,,,,1.0714,0.1912,0.5,1.0,0.0,90.0,0,0
,,,,,,,,,,,1.0,0.0,0.5,1.0,0.0,90.0,0,0
,,,,,,,,,,,0.6106,-0.0723,0.4737,1.0,0.0,55.102,0,0
,,,,,,,,,,,0.2067,-0.0287,0.4594,1.0,0.0,25.7143,0,0
,,,,,,,,,,,0.0,0.0,0.5,1.0,0.0,0.0,0,0
,,,,,,,,,,,0.0,0.0,0.65,1.0,0.0,0.0,0,0
