parameter_label,value,x,y,z,z_mode,roll,yaw,wait_ms,fine,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw,catmull_wait_ms,catmull_fine
checkpoint_end_row,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
catmull_rom,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,,0.0,0.0,0.2,0.0,0.0,0.0,0,0
catmull_end_row,28.0,1.0,0.0,0.2,0.0,0.0,90.0,0,0,,0.3959,0.0,0.2398,0.0,0.0,43.1633,0,0
catmull_density,100.0,2.0,0.0,0.2,0.0,0.0,0.0,0,0,,0.7995,0.0,0.2084,0.0,0.0,73.4694,0,0
catmull_min_distance,0.4,1.0,-1.0,0.2,0.0,0.0,0.0,0,0,,1.0,0.0,0.2,0.0,0.0,90.0,0,0
catmull_orient_LERP,1.0,2.0,0.0,0.2,0.0,0.0,0.0,0,0,,1.4086,0.0297,0.2,0.0,0.0,59.6939,0,0
timeout_sec,0,1.0,1.0,0.2,0.0,0.0,0.0,0,0,,1.8111,0.0567,0.2,0.0,0.0,28.4694,0,0
,,1.0,1.0,0.2,0.0,0.0,90.0,0,0,,2.0,0.0,0.2,0.0,0.0,0.0,0,0
,,1.0,0.0,0.2,0.0,0.0,90.0,0,0,,1.7688,-0.3269,0.2,0.0,0.0,0.0,0,0
,,0.0,0.0,0.2,0.0,0.0,0.0,0,0,,1.4689,-0.6057,0.2,0.0,0.0,0.0,0,0
,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1.1562,-0.8725,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.0,-1.0,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.3289,-0.7619,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.6422,-0.5013,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.9217,-0.1961,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,2.0,0.0,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.8046,0.3434,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.488,0.6061,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.1586,0.8586,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.0,1.0,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,1.0,1.0,0.2,0.0,0.0,90.0,0,0
,,,,,,,,,,,1.0421,0.5943,0.2,0.0,0.0,90.0,0,0
,,,,,,,,,,,1.0714,0.1912,0.2,0.0,0.0,90.0,0,0
,,,,,,,,,,,1.0,0.0,0.2,0.0,0.0,90.0,0,0
,,,,,,,,,,,0.6134,-0.0723,0.2291,0.0,0.0,55.102,0,0
,,,,,,,,,,,0.211,-0.0287,0.245,0.0,0.0,25.7143,0,0
,,,,,,,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0,0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0
