parameter_label,value,x,y,z,z_mode,roll,yaw,wait_ms,fine,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw,catmull_wait_ms,catmull_fine
# ---------------------------------------------------------
# Control Parameters
# ---------------------------------------------------------
use_geodetic_coords,1.0,,,,,,,,,,,,,,,,,
origin_lat,33.9927169,,,,,,,,,,,,,,,,,
origin_lon,132.2058701,,,,,,,,,,,,,,,,,
system_id,3,,,,,,,,,,,,,,,,,
timeout_sec,60,,,,,,,,,,,,,,,,,
checkpoint_end_row,42,,,,,,,,,,,,,,,,,
# ---------------------------------------------------------
# Generated Waypoints: 20m x 20m Lawnmower (Geodetic)
# Origin: Yamaguchi (Zone 3 Approximation)
# ---------------------------------------------------------
# Waypoint 1: Turn Right 90 (Local: 0.0, 0.0)
,,33.992716900,132.205870100,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 2: Forward 20m (X=0.0) (Local: 0.0, -20.0)
,,33.992536594,132.205870100,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 3: Turn Right 90 (Local: 0.0, -20.0)
,,33.992536594,132.205870100,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 4: Forward 2m (Local: -2.0, -20.0)
,,33.992536594,132.205848453,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 5: Turn Right 90 (Local: -2.0, -20.0)
,,33.992536594,132.205848453,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 6: Forward 20m (X=-2.0) (Local: -2.0, 0.0)
,,33.992716900,132.205848453,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 7: Turn Left 90 (Local: -2.0, 0.0)
,,33.992716900,132.205848453,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 8: Forward 2m (Local: -4.0, 0.0)
,,33.992716900,132.205826807,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 9: Turn Left 90 (Local: -4.0, 0.0)
,,33.992716900,132.205826807,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 10: Forward 20m (X=-4.0) (Local: -4.0, -20.0)
,,33.992536594,132.205826807,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 11: Turn Right 90 (Local: -4.0, -20.0)
,,33.992536594,132.205826807,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 12: Forward 2m (Local: -6.0, -20.0)
,,33.992536594,132.205805160,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 13: Turn Right 90 (Local: -6.0, -20.0)
,,33.992536594,132.205805160,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 14: Forward 20m (X=-6.0) (Local: -6.0, 0.0)
