parameter_label,value,x,y,z,z_mode,roll,yaw,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw
checkpoint_end_row,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
catmull_rom,1.0,0.0,0.0,0.0,0.0,0.0,45.0,,0.0,0.0,0.0,0.0,0.0,45.0
catmull_end_row,20.0,1.0,0.0,0.2,0.0,0.0,45.0,,0.3935,0.0,0.0882,0.0,0.0,45.0
catmull_density,100.0,2.0,0.0,0.2,0.0,0.0,0.0,,0.7872,0.0,0.1708,0.0,0.0,45.0
catmull_min_distance,0.4,1.0,-1.0,0.2,0.0,0.0,0.0,,1.0,0.0,0.2,0.0,0.0,45.0
catmull_orient_LERP,1.0,2.0,0.0,0.2,0.0,0.0,0.0,,1.4078,0.0297,0.2146,0.0,0.0,29.8469
,,1.0,1.0,0.1,0.0,0.0,90.0,,1.8108,0.0567,0.2066,0.0,0.0,14.2347
,,,,,,,,,2.0,0.0,0.2,0.0,0.0,0.0
,,,,,,,,,1.7688,-0.3269,0.2,0.0,0.0,0.0
,,,,,,,,,1.4689,-0.6057,0.2,0.0,0.0,0.0
,,,,,,,,,1.1562,-0.8725,0.2,0.0,0.0,0.0
,,,,,,,,,1.0,-1.0,0.2,0.0,0.0,0.0
,,,,,,,,,1.3288,-0.7618,0.2045,0.0,0.0,0.0
,,,,,,,,,1.642,-0.5012,0.2072,0.0,0.0,0.0
,,,,,,,,,1.9215,-0.1961,0.2059,0.0,0.0,0.0
,,,,,,,,,2.0,0.0,0.2,0.0,0.0,0.0
,,,,,,,,,1.8048,0.3435,0.1731,0.0,0.0,30.3061
,,,,,,,,,1.4881,0.6061,0.1441,0.0,0.0,54.1837
,,,,,,,,,1.171,0.8485,0.1161,0.0,0.0,76.2245
,,,,,,,,,1.0,1.0,0.1,0.0,0.0,90.0
