parameter_label,value,x,y,z,z_mode,roll,yaw,wait_ms,fine,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw,catmull_wait_ms,catmull_fine,
checkpoint_end_row,124,0,0,0,0,0,0,0,1,,,,,,,,,,
catmull_rom,0.0,0,0,0.35,0,0,0,15000,1,,,,,,,,,,
catmull_end_row,0.0,0.25,0,0.35,0,0,0,15000,1,,,,,,,,,,
catmull_density,0.0,0.5,0,0.35,0,0,0,15000,1,,,,,,,,,,
catmull_min_distance,0.0,0.75,0,0.35,0,0,0,15000,1,,,,,,,,,,
catmull_orient_LERP,0.0,1,0,0.35,0,0,0,15000,1,,,,,,,,,,
timeout_sec,0,1.25,0,0.35,0,0,0,15000,1,,,,,,,,,,
,,1.5,0,0.35,0,0,0,15000,1,,,,,,,,,,
,,1.75,0,0.35,0,0,0,15000,1,,,,,,,,,,
,,2,0,0.35,0,0,0,15000,1,,,,,,,,,,
,,2.25,0,0.35,0,0,0,15000,1,,,,,,,,,,
,,2.5,0,0.35,0,0,0,15000,1,,,,,,,,,,
,,2.5,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,2.25,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,2,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,1.75,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,1.5,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,1.25,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,1,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,0.75,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,0.5,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,0.25,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,0,0.25,0.35,0,0,0,15000,1,,,,,,,,,,
,,0,0.5,0.35,0,0,0,15000,1,,,,,,,,,,
,,0.25,0.5,0.35,0,0,0,15000,1,,,,,,,,,,
,,0.5,0.5,0.35,0,0,0,15000,1,,,,,,,,,,
