parameter_label,value,x,y,z,z_mode,roll,yaw,wait_ms,fine,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw,catmull_wait_ms,catmull_fine,
checkpoint_end_row,68,0,0,0,0,0,0,0,1,,,,,,,,,,
catmull_rom,0.0,0,0,0.15,0,0,0,5000,1,,,,,,,,,,
catmull_end_row,0.0,0.90,0.00,0.15,0.00,0.00,0,5000,1,,,,,,,,,,
catmull_density,0.0,0.87,0.23,0.15,0.00,0.00,15,5000,1,,,,,,,,,,
catmull_min_distance,0.0,0.78,0.45,0.15,0.00,0.00,30,5000,1,,,,,,,,,,
catmull_orient_LERP,0.0,0.64,0.64,0.15,0.00,0.00,45,5000,1,,,,,,,,,,
timeout_sec,0,0.45,0.78,0.15,0.00,0.00,60,5000,1,,,,,,,,,,
,,0.23,0.87,0.15,0.00,0.00,75,5000,1,,,,,,,,,,
,,0.00,0.90,0.15,0.00,0.00,90,5000,1,,,,,,,,,,
,,-0.23,0.87,0.15,0.00,0.00,105,5000,1,,,,,,,,,,
,,-0.45,0.78,0.15,0.00,0.00,120,5000,1,,,,,,,,,,
,,-0.64,0.64,0.15,0.00,0.00,135,5000,1,,,,,,,,,,
,,-0.78,0.45,0.15,0.00,0.00,150,5000,1,,,,,,,,,,
,,-0.87,0.23,0.15,0.00,0.00,165,5000,1,,,,,,,,,,
,,-0.90,0.00,0.15,0.00,0.00,180,5000,1,,,,,,,,,,
,,-0.87,-0.23,0.15,0.00,0.00,-165,5000,1,,,,,,,,,,
,,-0.78,-0.45,0.15,0.00,0.00,-150,5000,1,,,,,,,,,,
,,-0.64,-0.64,0.15,0.00,0.00,-135,5000,1,,,,,,,,,,
,,-0.45,-0.78,0.15,0.00,0.00,-120,5000,1,,,,,,,,,,
,,-0.23,-0.87,0.15,0.00,0.00,-105,5000,1,,,,,,,,,,
,,0.00,-0.90,0.15,0.00,0.00,-90,5000,1,,,,,,,,,,
,,0.23,-0.87,0.15,0.00,0.00,-75,5000,1,,,,,,,,,,
,,0.45,-0.78,0.15,0.00,0.00,-60,5000,1,,,,,,,,,,
,,0.64,-0.64,0.15,0.00,0.00,-45,5000,1,,,,,,,,,,
,,0.78,-0.45,0.15,0.00,0.00,-30,5000,1,,,,,,,,,,
,,0.87,-0.23,0.15,0.00,0.00,-15,5000,1,,,,,,,,,,
,,0.90,0.00,0.15,0.00,0.00,0,5000,1,,,,,,,,,,
,,0.40,0.00,0.15,0.00,0.00,0,5000,1,,,,,,,,,,
,,0.38,0.14,0.15,0.00,0.00,20,5000,1,,,,,,,,,,
,,0.31,0.26,0.15,0.00,0.00,40,5000,1,,,,,,,,,,
,,0.20,0.35,0.15,0.00,0.00,60,5000,1,,,,,,,,,,
,,0.07,0.39,0.15,0.00,0.00,80,5000,1,,,,,,,,,,
,,-0.07,0.39,0.15,0.00,0.00,100,5000,1,,,,,,,,,,
,,-0.20,0.35,0.15,0.00,0.00,120,5000,1,,,,,,,,,,
,,-0.31,0.26,0.15,0.00,0.00,140,5000,1,,,,,,,,,,
,,-0.38,0.14,0.15,0.00,0.00,160,5000,1,,,,,,,,,,
,,-0.40,0.00,0.15,0.00,0.00,180,5000,1,,,,,,,,,,
,,-0.38,-0.14,0.15,0.00,0.00,-160,5000,1,,,,,,,,,,
,,-0.31,-0.26,0.15,0.00,0.00,-140,5000,1,,,,,,,,,,
,,-0.20,-0.35,0.15,0.00,0.00,-120,5000,1,,,,,,,,,,
,,-0.07,-0.39,0.15,0.00,0.00,-100,5000,1,,,,,,,,,,
,,0.07,-0.39,0.15,0.00,0.00,-80,5000,1,,,,,,,,,,
